"id","lot_number","site","auction_date","auction_time","maker","model","year","chassis_id","grade","transmission","cc","color","mileage","point","sold_price","avg_price_predicted_ru","avg_price_predicted_hex","created_at","calculated_avg_price","calculated_avg_price_confidence_score","strict_predicted_price","strict_confidence_score"
"26414","3118","taa kanto","""2026-02-12T00:00:00.000Z""","10:29:00","SUZUKI","SUZUKI ALTO","2024","HA37S","L","IAT","660","BLUE","4000","R","0","0","#000000","""2026-02-12T00:54:43.558Z""",,,,
"26474","2017","taa hokkaido","""2026-02-12T00:00:00.000Z""","12:34:00","TOYOTA","TOYOTA AQUA","2024","MXPK16","X 4WD","IAT","1500","SILVER","13000","3.5","0","0","#000000","""2026-02-12T00:54:46.111Z""",,,,
"26475","50115","taa chubu","""2026-02-12T00:00:00.000Z""","12:24:00","TOYOTA","TOYOTA AQUA","2012","NHP10","S","FAT","1500","BLUE","14000","3.5","0","349000","#73aa00","""2026-02-12T00:54:46.153Z""",,,,
"26476","82020","taa kanto","""2026-02-12T00:00:00.000Z""","11:24:00","TOYOTA","TOYOTA AQUA","2022","MXPK11","G","IAT","1500","BEIGE","14000","4","0","1564000","#73aa00","""2026-02-12T00:54:46.196Z""",,,,
"26477","165","taa chubu","""2026-02-12T00:00:00.000Z""","10:48:00","TOYOTA","TOYOTA AQUA","2020","NHP10","S Style Black","FAT","1500","WHITE","15000","4.5","0","1231000","#73aa00","""2026-02-12T00:54:46.239Z""",,,,
"26478","1","taa kanto","""2026-02-12T00:00:00.000Z""","13:20:00","TOYOTA","TOYOTA AQUA","2018","NHP10H","Crossover","FAT","1500","BEIGE","16000","R","0","1120000","#ff9c33","""2026-02-12T00:54:46.281Z""",,,,
"26479","22037","taa kanto","""2026-02-12T00:00:00.000Z""","10:14:00","TOYOTA","TOYOTA AQUA","2020","NHP10","S Style Black","FAT","1500","CON","16000","3.5","0","1025000","#73aa00","""2026-02-12T00:54:46.323Z""",,,,
"26480","82016","taa kanto","""2026-02-12T00:00:00.000Z""","11:22:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","X","IAT","1500","WHITE","16000","4","0","1482000","#73aa00","""2026-02-12T00:54:46.366Z""",,,,
"26481","83","taa kanto","""2026-02-12T00:00:00.000Z""","13:48:00","TOYOTA","TOYOTA AQUA","2019","NHP10","S Style Black","FAT","1500","SILVER","17000","R","0","641000","#73aa00","""2026-02-12T00:54:46.408Z""",,,,
"26482","357","taa chubu","""2026-02-12T00:00:00.000Z""","11:45:00","TOYOTA","TOYOTA AQUA","2020","NHP10","L","FAT","1500","SILVER","18000","4.5","0","1231000","#73aa00","""2026-02-12T00:54:46.450Z""",,,,
"26483","2145","taa chubu","""2026-02-12T00:00:00.000Z""","13:30:00","TOYOTA","TOYOTA AQUA","2020","NHP10","S Business Package","FAT","1500","WHITE","19000","4.5","0","1231000","#73aa00","""2026-02-12T00:54:46.493Z""",,,,
"26484","80016","taa kanto","""2026-02-12T00:00:00.000Z""","10:54:00","TOYOTA","TOYOTA AQUA","2016","NHP10","S Style Black","FAT","1500","SILVER","20000","R","0","508000","#51b0df","""2026-02-12T00:54:46.536Z""",,,,
"26485","178","taa chubu","""2026-02-12T00:00:00.000Z""","10:52:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","G","IAT","1500","WHITE","21000","4.5","0","1606000","#73aa00","""2026-02-12T00:54:46.579Z""",,,,
"26486","147","taa kanto","""2026-02-12T00:00:00.000Z""","14:10:00","TOYOTA","TOYOTA AQUA","2020","NHP10","S Style Black","FAT","1500","CON","21000","RA","0","782000","#eed649","""2026-02-12T00:54:46.622Z""",,,,
"26487","6003","taa hokkaido","""2026-02-12T00:00:00.000Z""","11:39:00","TOYOTA","TOYOTA AQUA","2024","MXPK16","G E-FOUR 4WD","IAT","1500","BLACK","21000","4.5","0","1817000","#73aa00","""2026-02-12T00:54:46.664Z""",,,,
"26488","2097","taa kanto","""2026-02-12T00:00:00.000Z""","12:39:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","Z","IAT","1500","BEIGE","22000","4.5","0","1746000","#73aa00","""2026-02-12T00:54:46.706Z""",,,,
"26489","82007","taa kanto","""2026-02-12T00:00:00.000Z""","11:19:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","G","IAT","1500","BLUE","22000","3.5","0","1438000","#73aa00","""2026-02-12T00:54:46.749Z""",,,,
"26490","7039","taa hokkaido","""2026-02-12T00:00:00.000Z""","10:11:00","TOYOTA","TOYOTA AQUA","2016","NHP10","G","FAT","1500","SILVER","23000","RA","0","569000","#51b0df","""2026-02-12T00:54:46.791Z""",,,,
"26491","73010","taa chubu","""2026-02-12T00:00:00.000Z""","10:03:00","TOYOTA","TOYOTA AQUA","2022","MXPK11","X","IAT","1500","BLUE","24000","4","0","1564000","#73aa00","""2026-02-12T00:54:46.833Z""",,,,
"26492","72025","taa tohoku","""2026-02-12T00:00:00.000Z""","10:41:00","TOYOTA","TOYOTA AQUA","2014","NHP10","G","FAT","1500","PURPLE","24000","3.5","0","360000","#73aa00","""2026-02-12T00:54:46.876Z""",,,,
"26493","73004","taa chubu","""2026-02-12T00:00:00.000Z""","10:00:00","TOYOTA","TOYOTA AQUA","2017","NHP10","S Style Black","FAT","1500","FF","24000","3","0","544000","#73aa00","""2026-02-12T00:54:46.918Z""",,,,
"26494","72039","taa tohoku","""2026-02-12T00:00:00.000Z""","10:45:00","TOYOTA","TOYOTA AQUA","2018","NHP10","S","FAT","1500","WHITE","24000","3.5","0","816000","#73aa00","""2026-02-12T00:54:46.960Z""",,,,
"26495","70090","taa kanto","""2026-02-12T00:00:00.000Z""","10:24:00","TOYOTA","TOYOTA AQUA","2018","NHP10","S Style Black","FAT","1500","WHITE","25000","4","0","995000","#73aa00","""2026-02-12T00:54:47.003Z""",,,,
"26496","90","taa chubu","""2026-02-12T00:00:00.000Z""","10:26:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","Z","IAT","1500","WHITE","26000","4","0","1419000","#73aa00","""2026-02-12T00:54:47.045Z""",,,,
"26497","73047","taa chubu","""2026-02-12T00:00:00.000Z""","10:18:00","TOYOTA","TOYOTA AQUA","2015","NHP10","X- Urban","FAT","1500","SILVER","26000","4","0","643000","#73aa00","""2026-02-12T00:54:47.088Z""",,,,
"26498","8090","taa chubu","""2026-02-12T00:00:00.000Z""","13:49:00","TOYOTA","TOYOTA AQUA","2018","NHP10","S","FAT","1500","LIGHT BLUE","27000","4","0","921000","#73aa00","""2026-02-12T00:54:47.130Z""",,,,
"26499","82094","taa kanto","""2026-02-12T00:00:00.000Z""","11:55:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","G","IAT","1500","GREEN","27000","3.5","0","1352000","#73aa00","""2026-02-12T00:54:47.173Z""",,,,
"26500","64","taa chubu","""2026-02-12T00:00:00.000Z""","10:18:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","Z","IAT","1500","WHITE","28000","5","0","1619000","#51b0df","""2026-02-12T00:54:47.216Z""",,,,
"26501","73061","taa chubu","""2026-02-12T00:00:00.000Z""","10:24:00","TOYOTA","TOYOTA AQUA","2014","NHP10","G Black Soft Leather - Selection","FAT","1500","RED","30000","3.5","0","374000","#73aa00","""2026-02-12T00:54:47.258Z""",,,,
"26502","72001","taa tohoku","""2026-02-12T00:00:00.000Z""","10:34:00","TOYOTA","TOYOTA AQUA","2022","MXPK16","X 4WD","IAT","1500","BLACK","30000","4","0","1514000","#73aa00","""2026-02-12T00:54:47.301Z""",,,,
"26503","2161","taa chubu","""2026-02-12T00:00:00.000Z""","13:37:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","X","IAT","1500","SILVER","30000","4","0","1368000","#73aa00","""2026-02-12T00:54:47.343Z""",,,,
"26504","82092","taa kanto","""2026-02-12T00:00:00.000Z""","11:54:00","TOYOTA","TOYOTA AQUA","2022","MXPK11","Z","IAT","1500","RED","31000","3.5","0","1311000","#73aa00","""2026-02-12T00:54:47.386Z""",,,,
"26505","142","taa kanto","""2026-02-12T00:00:00.000Z""","14:08:00","TOYOTA","TOYOTA AQUA","2017","NHP10","S Style Black","FAT","1500","CON","31000","4","0","809000","#73aa00","""2026-02-12T00:54:47.428Z""",,,,
"26506","2095","taa kanto","""2026-02-12T00:00:00.000Z""","12:38:00","TOYOTA","TOYOTA AQUA","2020","NHP10","S Style Black","FAT","1500","WHITE","33000","3.5","0","842000","#73aa00","""2026-02-12T00:54:47.470Z""",,,,
"26507","72023","taa tohoku","""2026-02-12T00:00:00.000Z""","10:40:00","TOYOTA","TOYOTA AQUA","2016","NHP10","S","FAT","1500","LIGHT BLUE","33000","4","0","713000","#73aa00","""2026-02-12T00:54:47.512Z""",,,,
"26508","72020","taa tohoku","""2026-02-12T00:00:00.000Z""","10:39:00","TOYOTA","TOYOTA AQUA","2022","MXPK16","X 4WD","IAT","1500","BEIGE","34000","4","0","1514000","#73aa00","""2026-02-12T00:54:47.555Z""",,,,
"26509","72010","taa tohoku","""2026-02-12T00:00:00.000Z""","10:36:00","TOYOTA","TOYOTA AQUA","2012","NHP10","S","FAT","1500","WHITE","36000","4","0","399000","#73aa00","""2026-02-12T00:54:47.598Z""",,,,
"26510","4051","taa kanto","""2026-02-12T00:00:00.000Z""","13:16:00","TOYOTA","TOYOTA AQUA","2015","NHP10","S","FAT","1500","SILVER","37000","RA","0","445000","#73aa00","""2026-02-12T00:54:47.640Z""",,,,
"26511","169","taa kanto","""2026-02-12T00:00:00.000Z""","14:18:00","TOYOTA","TOYOTA AQUA","2017","NHP10","S","FAT","1500","SILVER","37000","3","0","575000","#73aa00","""2026-02-12T00:54:47.683Z""",,,,
"26512","138","taa kanto","""2026-02-12T00:00:00.000Z""","14:07:00","TOYOTA","TOYOTA AQUA","2018","NHP10","S Style Black","FAT","1500","CON","37000","4","0","921000","#73aa00","""2026-02-12T00:54:47.725Z""",,,,
"26513","2065","taa chubu","""2026-02-12T00:00:00.000Z""","12:59:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","X","IAT","1500","BLACK","37000","4","0","1419000","#73aa00","""2026-02-12T00:54:47.767Z""",,,,
"26514","82080","taa kanto","""2026-02-12T00:00:00.000Z""","11:49:00","TOYOTA","TOYOTA AQUA","2021","MXPK11","G","FAT","1500","BEIGE","38000","4.5","0","1485000","#73aa00","""2026-02-12T00:54:47.810Z""",,,,
"26515","24013","taa kanto","""2026-02-12T00:00:00.000Z""","12:36:00","TOYOTA","TOYOTA AQUA","2014","NHP10","G","FAT","1500","SILVER","38000","RA","0","340000","#73aa00","""2026-02-12T00:54:47.853Z""",,,,
"26516","6","taa kanto","""2026-02-12T00:00:00.000Z""","13:22:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","G","IAT","1500","BLUE","39000","R","0","992000","#73aa00","""2026-02-12T00:54:47.895Z""",,,,
"26517","2019","taa kanto","""2026-02-12T00:00:00.000Z""","12:09:00","TOYOTA","TOYOTA AQUA","2019","NHP10","S Style Black","FAT","1500","RED","39000","4.5","0","1170000","#73aa00","""2026-02-12T00:54:47.937Z""",,,,
"26518","156","taa kanto","""2026-02-12T00:00:00.000Z""","14:13:00","TOYOTA","TOYOTA AQUA","2016","NHP10","G","FAT","1500","PURPLE","39000","4","0","713000","#73aa00","""2026-02-12T00:54:47.980Z""",,,,
"26519","8018","taa hokkaido","""2026-02-12T00:00:00.000Z""","11:19:00","TOYOTA","TOYOTA AQUA","2012","NHP10","S","FAT","1500","SILVER","39000","3.5","0","310000","#73aa00","""2026-02-12T00:54:48.022Z""",,,,
"26520","2119","taa chubu","""2026-02-12T00:00:00.000Z""","13:20:00","TOYOTA","TOYOTA AQUA","2019","NHP10","S Style Black","FAT","1500","FF","40000","3.5","0","846000","#73aa00","""2026-02-12T00:54:48.065Z""",,,,
"26521","42002","taa kanto","""2026-02-12T00:00:00.000Z""","11:03:00","TOYOTA","TOYOTA AQUA","2014","NHP10","S","FAT","1500","SILVER","41000","3","0","285000","#73aa00","""2026-02-12T00:54:48.108Z""",,,,
"26522","50082","taa chubu","""2026-02-12T00:00:00.000Z""","12:14:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","X","IAT","1500","BLACK","41000","4","0","1419000","#73aa00","""2026-02-12T00:54:48.150Z""",,,,
"26523","2076","taa chubu","""2026-02-12T00:00:00.000Z""","13:03:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","X","IAT","1500","BEIGE","41000","4","0","1419000","#73aa00","""2026-02-12T00:54:48.193Z""",,,,
"26524","24005","taa kanto","""2026-02-12T00:00:00.000Z""","12:34:00","TOYOTA","TOYOTA AQUA","2012","NHP10","S","FAT","1500","WHITE","42000","R","0","257000","#73aa00","""2026-02-12T00:54:48.235Z""",,,,
"26525","2074","taa chubu","""2026-02-12T00:00:00.000Z""","13:02:00","TOYOTA","TOYOTA AQUA","2023","MXPK11","X","IAT","1500","BEIGE","42000","4.5","0","1596000","#73aa00","""2026-02-12T00:54:48.278Z""",,,,
